Metric,Value
Genome Length,"452,078 bp"
Motifs (excl. Hybrid/Cluster),"3,503"
Motifs (incl. Hybrid/Cluster),"3,835"
Motif Classes,7
Motif Density,7.7487 / kb
Total Covered Bases,"43,455 bp"
Coverage Fraction,0.096123
Coverage (%),9.6123%
Raw Occupancy,"50,038 bp"
Normalized Occupancy (SLI),0.110684
Mean Overlap Depth,1.1515
SLI,0.110684
Structural Intensity,0.129628
Weighted Structural Coverage,0.045309
Mean Inter-Motif Distance,115.77 bp
CV (Clustering Coefficient),1.5416
"Max Local Density (W=1,000 bp)",0.027000
Max Class Diversity,5
Max Cluster Score,0.108000
Hybrid Regions,156
Hybrid Coverage,0.8994%
Cluster Regions,176
Cluster Coverage,8.3311%
Mean Overlap Fraction,0.8863
Simpson Diversity Index (D),0.3887
Effective Class Number (Neff),1.6358
SCI (Structural Complexity Index),0.1572
Structural Dominance Ratio,0.7625
