Metric,Value
Genome Length,"174,014 bp"
Motifs (excl. Hybrid/Cluster),"1,405"
Motifs (incl. Hybrid/Cluster),"1,492"
Motif Classes,6
Motif Density,8.0741 / kb
Total Covered Bases,"17,277 bp"
Coverage Fraction,0.099285
Coverage (%),9.9285%
Raw Occupancy,"19,506 bp"
Normalized Occupancy (SLI),0.112094
Mean Overlap Depth,1.1290
SLI,0.112094
Structural Intensity,0.128768
Weighted Structural Coverage,0.078041
Mean Inter-Motif Distance,110.97 bp
CV (Clustering Coefficient),1.4556
"Max Local Density (W=1,000 bp)",0.027000
Max Class Diversity,5
Max Cluster Score,0.085000
Hybrid Regions,61
Hybrid Coverage,0.9292%
Cluster Regions,26
Cluster Coverage,3.5790%
Mean Overlap Fraction,0.8904
Simpson Diversity Index (D),0.3576
Effective Class Number (Neff),1.5567
SCI (Structural Complexity Index),0.1546
Structural Dominance Ratio,0.7779
