Metric,Value
Genome Length,"1,674,010 bp"
Motifs (excl. Hybrid/Cluster),"3,581"
Motifs (incl. Hybrid/Cluster),"3,771"
Motif Classes,9
Motif Density,2.1392 / kb
Total Covered Bases,"80,586 bp"
Coverage Fraction,0.048139
Coverage (%),4.8139%
Raw Occupancy,"87,390 bp"
Normalized Occupancy (SLI),0.052204
Mean Overlap Depth,1.0844
SLI,0.052204
Structural Intensity,0.068355
Weighted Structural Coverage,0.023801
Mean Inter-Motif Distance,443.78 bp
CV (Clustering Coefficient),1.1964
"Max Local Density (W=1,000 bp)",0.011000
Max Class Diversity,6
Max Cluster Score,0.066000
Hybrid Regions,81
Hybrid Coverage,0.2456%
Cluster Regions,109
Cluster Coverage,1.4302%
Mean Overlap Fraction,0.9136
Simpson Diversity Index (D),0.7558
Effective Class Number (Neff),4.0952
SCI (Structural Complexity Index),0.1971
Structural Dominance Ratio,0.3077
