Organism,N_Classes,Count
Buchnera aphidicola,3,157
Buchnera aphidicola,4,17
Candidatus Carsonella ruddii,3,24
Candidatus Carsonella ruddii,4,3
Cellulomonas shaoxiangyii,3,3236
Cellulomonas shaoxiangyii,4,1300
Cellulomonas shaoxiangyii,5,260
Cellulomonas shaoxiangyii,6,32
Miltoncostaea marina,3,3314
Miltoncostaea marina,4,1373
Miltoncostaea marina,5,309
Miltoncostaea marina,6,30
Miltoncostaea marina,7,1
Streptococcus pneumoniae,3,25
Streptococcus pneumoniae,4,5
ecoli,3,186
ecoli,4,55
ecoli,5,4
hpylori,3,158
hpylori,4,46
hpylori,5,7
mtb,3,1225
mtb,4,313
mtb,5,28
mtb,6,3
saureus,3,23
saureus,4,5
saureus,5,1
