Organism,Class,Total_Subclass_Motifs,Num_Subclasses,Dominant_Subclass,Dominant_Count,Dominant_Pct
Buchnera aphidicola,A-philic_DNA,1,1,A-philic DNA,1,100.0
Buchnera aphidicola,Cruciform,583,1,Cruciform forming IRs,583,100.0
Buchnera aphidicola,Curved_DNA,4618,2,Local Curvature,4486,97.1
Buchnera aphidicola,G-Quadruplex,16,2,Two-tetrad weak PQS,15,93.8
Buchnera aphidicola,R-Loop,1,1,R-loop formation sites,1,100.0
Buchnera aphidicola,Slipped_DNA,67,2,Direct Repeat,65,97.0
Buchnera aphidicola,Triplex,127,2,Triplex,126,99.2
Candidatus Carsonella ruddii,Cruciform,270,1,Cruciform forming IRs,270,100.0
Candidatus Carsonella ruddii,Curved_DNA,1769,2,Local Curvature,1704,96.3
Candidatus Carsonella ruddii,G-Quadruplex,10,2,Two-tetrad weak PQS,9,90.0
Candidatus Carsonella ruddii,R-Loop,2,1,R-loop formation sites,2,100.0
Candidatus Carsonella ruddii,Slipped_DNA,10,2,Direct Repeat,9,90.0
Candidatus Carsonella ruddii,Triplex,18,1,Triplex,18,100.0
Cellulomonas shaoxiangyii,A-philic_DNA,1524,1,A-philic DNA,1524,100.0
Cellulomonas shaoxiangyii,Cruciform,4947,1,Cruciform forming IRs,4947,100.0
Cellulomonas shaoxiangyii,Curved_DNA,1,1,Local Curvature,1,100.0
Cellulomonas shaoxiangyii,G-Quadruplex,24172,7,Two-tetrad weak PQS,20509,84.8
Cellulomonas shaoxiangyii,R-Loop,1618,1,R-loop formation sites,1618,100.0
Cellulomonas shaoxiangyii,Slipped_DNA,338,2,Direct Repeat,326,96.4
Cellulomonas shaoxiangyii,Triplex,4,1,Triplex,4,100.0
Cellulomonas shaoxiangyii,Z-DNA,8740,2,Z-DNA,8552,97.8
Cellulomonas shaoxiangyii,i-Motif,485,2,Canonical i-motif,484,99.8
Miltoncostaea marina,A-philic_DNA,1954,1,A-philic DNA,1954,100.0
Miltoncostaea marina,Cruciform,5207,1,Cruciform forming IRs,5207,100.0
Miltoncostaea marina,Curved_DNA,2,1,Global Curvature,2,100.0
Miltoncostaea marina,G-Quadruplex,25083,7,Two-tetrad weak PQS,21239,84.7
Miltoncostaea marina,R-Loop,1393,1,R-loop formation sites,1393,100.0
Miltoncostaea marina,Slipped_DNA,135,2,Direct Repeat,123,91.1
Miltoncostaea marina,Triplex,3,2,Triplex,2,66.7
Miltoncostaea marina,Z-DNA,7835,2,Z-DNA,7428,94.8
Miltoncostaea marina,i-Motif,400,2,Canonical i-motif,398,99.5
Streptococcus pneumoniae,A-philic_DNA,7,1,A-philic DNA,7,100.0
Streptococcus pneumoniae,Cruciform,852,1,Cruciform forming IRs,852,100.0
Streptococcus pneumoniae,Curved_DNA,1675,2,Local Curvature,1027,61.3
Streptococcus pneumoniae,G-Quadruplex,1011,4,Two-tetrad weak PQS,992,98.1
Streptococcus pneumoniae,R-Loop,114,1,R-loop formation sites,114,100.0
Streptococcus pneumoniae,Slipped_DNA,35,1,Direct Repeat,35,100.0
Streptococcus pneumoniae,Triplex,5,2,Triplex,4,80.0
Streptococcus pneumoniae,Z-DNA,10,1,Z-DNA,10,100.0
Streptococcus pneumoniae,i-Motif,1,1,Canonical i-motif,1,100.0
ecoli,A-philic_DNA,67,1,A-philic DNA,67,100.0
ecoli,Cruciform,1830,1,Cruciform forming IRs,1830,100.0
ecoli,Curved_DNA,1760,2,Local Curvature,1171,66.5
ecoli,G-Quadruplex,6118,5,Two-tetrad weak PQS,5816,95.1
ecoli,R-Loop,783,1,R-loop formation sites,783,100.0
ecoli,Slipped_DNA,19,1,Direct Repeat,19,100.0
ecoli,Triplex,8,2,Triplex,5,62.5
ecoli,Z-DNA,900,2,Z-DNA,892,99.1
ecoli,i-Motif,26,2,Canonical i-motif,24,92.3
hpylori,A-philic_DNA,55,1,A-philic DNA,55,100.0
hpylori,Cruciform,476,1,Cruciform forming IRs,476,100.0
hpylori,Curved_DNA,2795,2,Local Curvature,2162,77.4
hpylori,G-Quadruplex,1103,5,Two-tetrad weak PQS,915,83.0
hpylori,R-Loop,772,1,R-loop formation sites,772,100.0
hpylori,Slipped_DNA,67,2,Direct Repeat,64,95.5
hpylori,Triplex,20,2,Triplex,14,70.0
hpylori,Z-DNA,23,2,Z-DNA,22,95.7
hpylori,i-Motif,22,2,Canonical i-motif,16,72.7
mtb,A-philic_DNA,799,1,A-philic DNA,799,100.0
mtb,Cruciform,2325,1,Cruciform forming IRs,2325,100.0
mtb,Curved_DNA,66,2,Global Curvature,43,65.2
mtb,G-Quadruplex,20580,7,Two-tetrad weak PQS,18338,89.1
mtb,R-Loop,1887,1,R-loop formation sites,1887,100.0
mtb,Slipped_DNA,192,2,Direct Repeat,189,98.4
mtb,Triplex,1,1,Sticky DNA,1,100.0
mtb,Z-DNA,2385,2,Z-DNA,2242,94.0
mtb,i-Motif,231,2,Canonical i-motif,229,99.1
saureus,A-philic_DNA,68,1,A-philic DNA,68,100.0
saureus,Cruciform,879,1,Cruciform forming IRs,879,100.0
saureus,Curved_DNA,2318,2,Local Curvature,1354,58.4
saureus,G-Quadruplex,341,3,Two-tetrad weak PQS,337,98.8
saureus,R-Loop,41,1,R-loop formation sites,41,100.0
saureus,Slipped_DNA,48,1,Direct Repeat,48,100.0
saureus,Triplex,15,2,Triplex,10,66.7
saureus,Z-DNA,7,1,Z-DNA,7,100.0
