Metric,Value
Genome Length,"12,157,105 bp"
Motifs (excl. Hybrid/Cluster),"19,215"
Motifs (incl. Hybrid/Cluster),"20,252"
Motif Classes,9
Motif Density,1.5806 / kb
Total Covered Bases,"291,306 bp"
Coverage Fraction,0.023962
Coverage (%),2.3962%
Raw Occupancy,"370,373 bp"
Normalized Occupancy (SLI),0.030466
Mean Overlap Depth,1.2714
SLI,0.030466
Structural Intensity,0.034910
Weighted Structural Coverage,0.013109
Mean Inter-Motif Distance,61.45 bp
CV (Clustering Coefficient),3.4807
"Max Local Density (W=1,000 bp)",0.076000
Max Class Diversity,9
Max Cluster Score,0.532000
Hybrid Regions,381
Hybrid Coverage,0.1028%
Cluster Regions,656
Cluster Coverage,0.9061%
Mean Overlap Fraction,0.7243
Simpson Diversity Index (D),0.7126
Effective Class Number (Neff),3.4792
SCI (Structural Complexity Index),0.0834
Structural Dominance Ratio,0.4392
