Metric,Value
Genome Length,"2,110,968 bp"
Motifs (excl. Hybrid/Cluster),"2,571"
Motifs (incl. Hybrid/Cluster),"2,607"
Motif Classes,9
Motif Density,1.2179 / kb
Total Covered Bases,"57,006 bp"
Coverage Fraction,0.027005
Coverage (%),2.7005%
Raw Occupancy,"58,698 bp"
Normalized Occupancy (SLI),0.027806
Mean Overlap Depth,1.0297
SLI,0.027806
Structural Intensity,0.030515
Weighted Structural Coverage,0.013390
Mean Inter-Motif Distance,798.37 bp
CV (Clustering Coefficient),1.1702
"Max Local Density (W=1,000 bp)",0.020000
Max Class Diversity,4
Max Cluster Score,0.057000
Hybrid Regions,19
Hybrid Coverage,0.0417%
Cluster Regions,17
Cluster Coverage,0.1953%
Mean Overlap Fraction,0.7196
Simpson Diversity Index (D),0.6895
Effective Class Number (Neff),3.2203
SCI (Structural Complexity Index),0.0870
Structural Dominance Ratio,0.3944
