Class,Total_Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct
G-Quadruplex,62929,22.231,1.011,2.0098,4.267
Cruciform,17676,23.457,1.093,0.5645,1.268
Z-DNA,17621,11.634,1.051,0.5628,0.598
Curved_DNA,14999,14.31,1.216,0.479,0.631
Non-B_DNA_Clusters,10223,839.601,1.188,0.3265,16.887
R-Loop,5614,893.026,1.881,0.1793,15.925
Hybrid,5360,268.301,1.2,0.1712,3.957
A-philic_DNA,3915,10.818,1.051,0.125,0.123
Slipped_DNA,1984,31.894,1.064,0.0634,0.196
i-Motif,957,25.426,1.685,0.0306,0.075
Triplex,829,22.503,1.182,0.0265,0.055
