Class,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
G-Quadruplex,1102,21.764,1.009,0.6583,1.367,Helicobacter pylori_genome.fna
Curved_DNA,1041,18.895,1.214,0.6219,1.109,Helicobacter pylori_genome.fna
R-Loop,773,36.849,1.026,0.4618,1.655,Helicobacter pylori_genome.fna
Cruciform,476,23.176,1.042,0.2843,0.631,Helicobacter pylori_genome.fna
Non-B_DNA_Clusters,159,224.774,1.132,0.095,1.897,Helicobacter pylori_genome.fna
i-Motif,154,33.695,1.626,0.092,0.297,Helicobacter pylori_genome.fna
Hybrid,98,53.541,1.145,0.0585,0.268,Helicobacter pylori_genome.fna
Slipped_DNA,69,34.841,1.072,0.0412,0.139,Helicobacter pylori_genome.fna
A-philic_DNA,55,11.091,1.069,0.0329,0.033,Helicobacter pylori_genome.fna
Z-DNA,23,10.565,1.029,0.0137,0.013,Helicobacter pylori_genome.fna
Triplex,20,20.35,1.145,0.0119,0.023,Helicobacter pylori_genome.fna
Curved_DNA,1093,11.07,1.195,6.2811,6.111,Candidatus Carsonella ruddii_genome.fna
Cruciform,270,23.667,1.035,1.5516,3.517,Candidatus Carsonella ruddii_genome.fna
Hybrid,61,26.885,1.13,0.3505,0.895,Candidatus Carsonella ruddii_genome.fna
Non-B_DNA_Clusters,26,259.231,1.154,0.1494,3.568,Candidatus Carsonella ruddii_genome.fna
Triplex,18,24.611,1.182,0.1034,0.244,Candidatus Carsonella ruddii_genome.fna
Slipped_DNA,12,29.667,1.061,0.069,0.198,Candidatus Carsonella ruddii_genome.fna
G-Quadruplex,10,18.9,1.005,0.0575,0.103,Candidatus Carsonella ruddii_genome.fna
R-Loop,2,14.5,1.008,0.0115,0.016,Candidatus Carsonella ruddii_genome.fna
Curved_DNA,2671,10.986,1.199,5.9083,5.73,Buchnera aphidicola_genome.fna
Cruciform,583,24.484,1.039,1.2896,3.028,Buchnera aphidicola_genome.fna
Non-B_DNA_Clusters,176,251.04,1.18,0.3893,8.305,Buchnera aphidicola_genome.fna
Hybrid,156,28.545,1.156,0.3451,0.868,Buchnera aphidicola_genome.fna
Triplex,127,26.378,1.218,0.2809,0.713,Buchnera aphidicola_genome.fna
Slipped_DNA,104,25.904,1.049,0.23,0.573,Buchnera aphidicola_genome.fna
G-Quadruplex,16,21.875,1.006,0.0354,0.074,Buchnera aphidicola_genome.fna
A-philic_DNA,1,10.0,1.035,0.0022,0.002,Buchnera aphidicola_genome.fna
R-Loop,1,16.0,1.006,0.0022,0.003,Buchnera aphidicola_genome.fna
Cruciform,879,24.742,1.064,0.3116,0.74,Staphylococcus aureus_genome.fna
Curved_DNA,697,23.23,1.233,0.247,0.549,Staphylococcus aureus_genome.fna
G-Quadruplex,341,21.158,1.002,0.1209,0.244,Staphylococcus aureus_genome.fna
A-philic_DNA,68,10.118,1.048,0.0241,0.022,Staphylococcus aureus_genome.fna
Slipped_DNA,48,40.125,1.088,0.017,0.067,Staphylococcus aureus_genome.fna
R-Loop,41,15.659,1.006,0.0145,0.021,Staphylococcus aureus_genome.fna
