Subclass,Total_Count,Mean_Density,Mean_Coverage,Mean_Length,Mean_Score,Files_Present
Two-tetrad weak PQS,4352610,1.3622,2.7461,20.7854,1.0043,12
Local Curvature,2007773,1.6192,1.4813,9.505,1.2046,10
Cruciform forming IRs,1369191,0.8571,1.975,23.9378,1.0651,12
R-loop formation sites,1295309,0.1713,12.2672,337.8084,1.3272,12
STR,944109,0.2012,0.5407,26.9742,1.0368,11
Mixed_Cluster_3_classes,637481,0.3111,13.5588,324.7503,1.148,12
Triplex,481458,0.1219,0.3094,25.318,1.2216,12
Direct Repeat,475737,0.104,0.3676,40.7123,1.0924,12
Relaxed i-motif,466005,0.1259,0.4303,34.8951,1.7626,10
Mixed_Cluster_4_classes,437246,0.1567,9.7672,408.8262,1.2025,12
Global Curvature,431527,0.2474,0.6282,25.787,1.2348,11
Intramolecular G-triplex,347907,0.07,0.1101,17.3947,1.0129,11
Canonical i-motif,333743,0.0556,0.1349,25.0381,1.6186,9
Extended-loop canonical,214657,0.0576,0.2058,37.0033,1.0572,9
A-philic DNA,190262,0.1034,0.1015,10.5708,1.0525,11
Bulged G4,168989,0.1139,0.3506,31.588,1.0378,11
Mixed_Cluster_5_classes,104449,0.0425,4.6239,510.7122,1.2154,9
Canonical intramolecular G4,53364,0.0098,0.0236,23.8498,1.0255,8
G-Quadruplex_i-Motif_Overlap,51426,0.0171,0.0779,50.3368,1.4536,8
G-Quadruplex_Slipped_DNA_Overlap,50474,0.0048,0.0188,46.3294,1.0645,8
Z-DNA,48746,0.4623,0.4909,11.3632,1.0473,10
Slipped_DNA_G-Quadruplex_Overlap,37202,0.0044,0.0199,45.8591,1.0658,8
G-Quadruplex_R-Loop_Overlap,32311,0.015,2.2714,759.7116,1.3999,8
Slipped_DNA_Triplex_Overlap,26440,0.0132,0.0468,35.0928,1.1618,5
Curved_DNA_Triplex_Overlap,23128,0.0267,0.0773,28.845,1.2493,6
Triplex_Curved_DNA_Overlap,22948,0.026,0.0752,28.913,1.2487,6
Mixed_Cluster_6_classes,19480,0.0089,1.2491,729.8504,1.2516,7
R-Loop_G-Quadruplex_Overlap,18913,0.0061,0.8371,683.8988,1.3624,9
