Subclass,Count,Mean_Length,Mean_Score,Density_per_kb,Coverage_pct,Source_File
Two-tetrad weak PQS,912,21.041,1.006,0.5448,1.092,Helicobacter pylori_genome.fna
R-loop formation sites,773,36.849,1.026,0.4618,1.655,Helicobacter pylori_genome.fna
Global Curvature,621,25.953,1.244,0.371,0.926,Helicobacter pylori_genome.fna
Cruciform forming IRs,476,23.176,1.042,0.2843,0.631,Helicobacter pylori_genome.fna
Local Curvature,420,8.46,1.169,0.2509,0.187,Helicobacter pylori_genome.fna
Relaxed i-motif,118,35.898,1.626,0.0705,0.246,Helicobacter pylori_genome.fna
Intramolecular G-triplex,108,17.852,1.012,0.0645,0.109,Helicobacter pylori_genome.fna
Mixed_Cluster_3_classes,96,234.656,1.117,0.0573,1.324,Helicobacter pylori_genome.fna
Mixed_Cluster_4_classes,55,210.055,1.156,0.0329,0.671,Helicobacter pylori_genome.fna
A-philic DNA,55,11.091,1.069,0.0329,0.033,Helicobacter pylori_genome.fna
Direct Repeat,54,36.574,1.082,0.0323,0.115,Helicobacter pylori_genome.fna
Extended-loop canonical,54,37.019,1.047,0.0323,0.116,Helicobacter pylori_genome.fna
Canonical i-motif,30,26.367,1.573,0.0179,0.045,Helicobacter pylori_genome.fna
Bulged G4,22,31.727,1.037,0.0131,0.04,Helicobacter pylori_genome.fna
Z-DNA,22,10.5,1.03,0.0131,0.012,Helicobacter pylori_genome.fna
STR,15,28.6,1.037,0.009,0.025,Helicobacter pylori_genome.fna
Triplex,14,23.929,1.205,0.0084,0.019,Helicobacter pylori_genome.fna
G-Quadruplex_i-Motif_Overlap,9,46.333,1.402,0.0054,0.024,Helicobacter pylori_genome.fna
G-Quadruplex_R-Loop_Overlap,8,33.25,1.014,0.0048,0.015,Helicobacter pylori_genome.fna
Mixed_Cluster_5_classes,7,193.143,1.156,0.0042,0.08,Helicobacter pylori_genome.fna
A-philic_DNA_R-Loop_Overlap,7,19.429,1.038,0.0042,0.008,Helicobacter pylori_genome.fna
AC-motif,6,27.0,1.9,0.0036,0.009,Helicobacter pylori_genome.fna
Sticky DNA,6,12.0,1.005,0.0036,0.004,Helicobacter pylori_genome.fna
Canonical intramolecular G4,6,28.333,1.029,0.0036,0.01,Helicobacter pylori_genome.fna
R-Loop_G-Quadruplex_Overlap,6,376.167,1.178,0.0036,0.134,Helicobacter pylori_genome.fna
Curved_DNA_Cruciform_Overlap,6,29.333,1.142,0.0036,0.01,Helicobacter pylori_genome.fna
R-Loop_A-philic_DNA_Overlap,6,23.833,1.04,0.0036,0.008,Helicobacter pylori_genome.fna
Cruciform_Curved_DNA_Overlap,5,34.2,1.14,0.003,0.01,Helicobacter pylori_genome.fna
A-philic_DNA_G-Quadruplex_Overlap,5,22.2,1.043,0.003,0.006,Helicobacter pylori_genome.fna
Curved_DNA_R-Loop_Overlap,4,32.25,1.154,0.0024,0.007,Helicobacter pylori_genome.fna
G-Quadruplex_Slipped_DNA_Overlap,4,33.25,1.032,0.0024,0.008,Helicobacter pylori_genome.fna
G-Quadruplex_A-philic_DNA_Overlap,3,28.667,1.064,0.0018,0.005,Helicobacter pylori_genome.fna
i-Motif_A-philic_DNA_Overlap,3,33.0,1.254,0.0018,0.006,Helicobacter pylori_genome.fna
Curved_DNA_G-Quadruplex_Overlap,3,41.667,1.103,0.0018,0.007,Helicobacter pylori_genome.fna
R-Loop_Slipped_DNA_Overlap,3,27.667,1.029,0.0018,0.005,Helicobacter pylori_genome.fna
G-Quadruplex_Curved_DNA_Overlap,3,35.333,1.136,0.0018,0.006,Helicobacter pylori_genome.fna
i-Motif_R-Loop_Overlap,3,42.0,1.457,0.0018,0.007,Helicobacter pylori_genome.fna
A-philic_DNA_i-Motif_Overlap,2,25.0,1.188,0.0012,0.003,Helicobacter pylori_genome.fna
R-Loop_Curved_DNA_Overlap,2,31.5,1.082,0.0012,0.004,Helicobacter pylori_genome.fna
R-Loop_i-Motif_Overlap,2,27.5,1.43,0.0012,0.003,Helicobacter pylori_genome.fna
G-Quadruplex_Cruciform_Overlap,2,40.5,1.029,0.0012,0.005,Helicobacter pylori_genome.fna
Cruciform_G-Quadruplex_Overlap,2,29.0,1.016,0.0012,0.003,Helicobacter pylori_genome.fna
