Organism,GC_pct,Class,Count,Coverage_bp,Coverage_pct,Density_per_kb
Buchnera aphidicola,18.28,A-philic_DNA,1,10,0.002,0.002
Buchnera aphidicola,18.28,Cruciform,583,14274,3.157,1.29
Buchnera aphidicola,18.28,Curved_DNA,4618,42039,9.299,10.215
Buchnera aphidicola,18.28,G-Quadruplex,16,350,0.077,0.035
Buchnera aphidicola,18.28,R-Loop,1,16,0.004,0.002
Buchnera aphidicola,18.28,Slipped_DNA,67,1650,0.365,0.148
Buchnera aphidicola,18.28,Triplex,127,3350,0.741,0.281
Candidatus Carsonella ruddii,17.63,Cruciform,270,6390,3.672,1.552
Candidatus Carsonella ruddii,17.63,Curved_DNA,1769,16602,9.541,10.166
Candidatus Carsonella ruddii,17.63,G-Quadruplex,10,189,0.109,0.057
Candidatus Carsonella ruddii,17.63,R-Loop,2,24,0.014,0.011
Candidatus Carsonella ruddii,17.63,Slipped_DNA,10,316,0.182,0.057
Candidatus Carsonella ruddii,17.63,Triplex,18,443,0.255,0.103
Cellulomonas shaoxiangyii,75.3,A-philic_DNA,1524,16452,0.421,0.39
Cellulomonas shaoxiangyii,75.3,Cruciform,4947,114698,2.934,1.265
Cellulomonas shaoxiangyii,75.3,Curved_DNA,1,7,0.0,0.0
Cellulomonas shaoxiangyii,75.3,G-Quadruplex,24198,546601,13.982,6.19
Cellulomonas shaoxiangyii,75.3,R-Loop,1618,2573622,65.832,0.414
Cellulomonas shaoxiangyii,75.3,Slipped_DNA,338,10389,0.266,0.086
Cellulomonas shaoxiangyii,75.3,Triplex,4,97,0.002,0.001
Cellulomonas shaoxiangyii,75.3,Z-DNA,8740,101607,2.599,2.236
Cellulomonas shaoxiangyii,75.3,i-Motif,485,12373,0.316,0.124
Miltoncostaea marina,76.16,A-philic_DNA,1954,21268,0.631,0.58
Miltoncostaea marina,76.16,Cruciform,5207,119660,3.55,1.545
Miltoncostaea marina,76.16,Curved_DNA,2,83,0.002,0.001
Miltoncostaea marina,76.16,G-Quadruplex,25104,564415,16.747,7.449
Miltoncostaea marina,76.16,R-Loop,1393,2261375,67.098,0.413
Miltoncostaea marina,76.16,Slipped_DNA,135,4578,0.136,0.04
Miltoncostaea marina,76.16,Triplex,3,61,0.002,0.001
Miltoncostaea marina,76.16,Z-DNA,7835,91736,2.722,2.325
Miltoncostaea marina,76.16,i-Motif,400,10188,0.302,0.119
Streptococcus pneumoniae,39.73,A-philic_DNA,7,70,0.003,0.003
Streptococcus pneumoniae,39.73,Cruciform,852,20621,0.977,0.404
Streptococcus pneumoniae,39.73,Curved_DNA,1675,34431,1.631,0.793
Streptococcus pneumoniae,39.73,G-Quadruplex,1014,21214,1.005,0.48
Streptococcus pneumoniae,39.73,R-Loop,114,1883,0.089,0.054
Streptococcus pneumoniae,39.73,Slipped_DNA,35,3061,0.145,0.017
Streptococcus pneumoniae,39.73,Triplex,5,108,0.005,0.002
Streptococcus pneumoniae,39.73,Z-DNA,10,113,0.005,0.005
Streptococcus pneumoniae,39.73,i-Motif,1,27,0.001,0.0
ecoli,50.79,A-philic_DNA,67,691,0.015,0.014
ecoli,50.79,Cruciform,1830,44527,0.959,0.394
ecoli,50.79,Curved_DNA,1760,33058,0.712,0.379
ecoli,50.79,G-Quadruplex,6126,128742,2.774,1.32
ecoli,50.79,R-Loop,783,89932,1.937,0.169
ecoli,50.79,Slipped_DNA,19,1182,0.025,0.004
ecoli,50.79,Triplex,8,158,0.003,0.002
ecoli,50.79,Z-DNA,900,9975,0.215,0.194
ecoli,50.79,i-Motif,26,624,0.013,0.006
hpylori,38.79,A-philic_DNA,55,610,0.036,0.033
hpylori,38.79,Cruciform,476,11032,0.659,0.284
hpylori,38.79,Curved_DNA,2795,42230,2.523,1.67
hpylori,38.79,G-Quadruplex,1102,23984,1.433,0.658
hpylori,38.79,R-Loop,772,27855,1.664,0.461
hpylori,38.79,Slipped_DNA,67,2364,0.141,0.04
hpylori,38.79,Triplex,20,407,0.024,0.012
hpylori,38.79,Z-DNA,23,243,0.015,0.014
hpylori,38.79,i-Motif,22,556,0.033,0.013
saureus,32.87,A-philic_DNA,68,688,0.024,0.024
saureus,32.87,Cruciform,879,21748,0.771,0.312
saureus,32.87,Curved_DNA,2318,49989,1.772,0.822
saureus,32.87,G-Quadruplex,341,7215,0.256,0.121
saureus,32.87,R-Loop,41,628,0.022,0.015
saureus,32.87,Slipped_DNA,48,1926,0.068,0.017
saureus,32.87,Triplex,15,312,0.011,0.005
saureus,32.87,Z-DNA,7,82,0.003,0.002
mtb,65.61,A-philic_DNA,799,8545,0.194,0.181
mtb,65.61,Cruciform,2325,53240,1.207,0.527
mtb,65.61,Curved_DNA,66,1964,0.045,0.015
mtb,65.61,G-Quadruplex,20572,458467,10.392,4.663
mtb,65.61,R-Loop,1887,1650014,37.402,0.428
mtb,65.61,Slipped_DNA,192,10466,0.237,0.044
mtb,65.61,Triplex,1,12,0.0,0.0
mtb,65.61,Z-DNA,2385,26803,0.608,0.541
mtb,65.61,i-Motif,231,6064,0.137,0.052
