Metric,Value
Genome Length,"3,909,366 bp"
Motifs (excl. Hybrid/Cluster),"41,857"
Motifs (incl. Hybrid/Cluster),"48,371"
Motif Classes,8
Motif Density,10.7069 / kb
Total Covered Bases,"2,812,894 bp"
Coverage Fraction,0.719527
Coverage (%),71.9527%
Raw Occupancy,"3,392,167 bp"
Normalized Occupancy (SLI),0.867703
Mean Overlap Depth,1.2059
SLI,0.867703
Structural Intensity,2.051038
Weighted Structural Coverage,0.685966
Mean Inter-Motif Distance,13.36 bp
CV (Clustering Coefficient),25.1040
"Max Local Density (W=1,000 bp)",0.029000
Max Class Diversity,7
Max Cluster Score,0.175000
Hybrid Regions,"1,971"
Hybrid Coverage,16.0085%
Cluster Regions,"4,543"
Cluster Coverage,67.2842%
Mean Overlap Fraction,0.7408
Simpson Diversity Index (D),0.6052
Effective Class Number (Neff),2.5329
SCI (Structural Complexity Index),1.8225
Structural Dominance Ratio,0.5781
